Al,Co,Cr,Cu,Fe,Mg,Mn,Ni,Si,Ti,V,Zn,YS,UTS,Elongation
91.78218106,0,1.26E-08,0.98045034,0.00018593,1.143462325,0,0,7.55E-07,0.004936095,0.00662717,3.705903767,12458.7579,12520.65049,-1416.163439
91.78521827,0,5.60E-10,0.862067016,9.42E-05,2.99408887,0.015187879,0.000192726,1.55E-05,0.009652056,0.00174832,3.720964885,103.1145898,195.6314544,385.6823171
91.78596452,0,2.38E-07,0.936631661,0.00114974,3.474173926,2.32E-05,0.013573143,2.51E-06,0.000109435,0.003163153,3.829729219,115.6533419,192.992242,375.4286787
91.78596452,0,2.38E-07,0.936631661,0.001155145,3.492548596,2.33E-05,0.005770037,4.72E-06,1.85E-05,0.003163153,3.82972924,116.3410517,193.6799518,374.7409688
91.80708279,0,1.21E-08,0.806312567,2.08E-05,3.402520784,2.32E-05,0.003091466,2.35E-06,0.005353661,0.001096138,3.754824186,114.7071609,192.046061,376.3748596
91.81450717,0,9.86E-09,0.933380319,0,3.402520784,1.29E-05,0.003092254,2.35E-06,0.005353661,0.001100847,3.82972924,117.1296389,194.468539,373.9523816
91.81481727,0,2.38E-07,0.936631661,0.001095208,3.397889126,2.65E-05,0.005656988,1.52E-06,0.004953811,0.002614098,3.829729219,117.6071944,194.9460945,373.4748262
91.81481763,0,1.90E-07,1.128007899,0.001095208,3.472068089,1.16E-05,6.32E-05,2.37E-06,0.00485643,0.000605838,3.829729219,113.0740177,190.4129178,378.0080029
91.81481763,0,2.36E-07,1.48263185,0.000661651,3.47347278,2.31E-05,0.005708013,2.38E-06,0.005022837,0.002614098,3.829729219,89.36515252,166.7040526,401.716868
91.81481763,0,2.38E-07,0.935174842,0.001095208,3.473476228,2.31E-05,0.005708338,2.38E-06,0.004835237,0.002614098,3.829729219,116.8636797,194.2025798,374.2183409
91.8214109,0,3.56E-12,0.94925753,0.003381357,3.298716409,0.015550703,0.000198808,0.000478863,0.002496366,0.001741912,3.829716558,113.7805477,206.2974123,375.0163592
91.82217827,0,0,0.932326699,0.000167249,3.435106275,8.61E-05,7.70E-05,0.000488124,0.004863039,0.002615246,3.829716216,114.7826859,207.2995505,374.014221
91.82217827,0,0,0.932323563,0.001476709,3.434812515,8.90E-05,0,0.000486399,0.004569007,0.002615246,3.829716221,114.8202542,207.3371188,373.9766527
